Id,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,Ss,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstacy,Heroin,Ketamine,Legalh,Lsd,Meth,Mushrooms,Nicotine,Vsa
3,35-44,0,Professional certificate/ diploma,UK,White,-0.4683231369552169,0.8088479237572055,-0.8498570278492728,-1.6250809086557938,-1.0164472930228352,-1.4536436559090193,0.4193122694051331,6,0,0,0,6,3,5,0,0,0,0,0,0,0,0,1,0,0
4,18-24,1,Masters degree,UK,White,-0.14932612188547958,-0.8079909571211307,-0.018368732080488795,0.5921650128587294,0.586497944660533,-1.4536436559090193,-1.2228441989199232,5,0,0,3,4,2,5,2,0,0,0,2,0,0,0,0,2,0
5,35-44,1,Doctorate degree,UK,White,0.736518460960724,-1.6380434364907415,-0.4526296716343368,-0.3023657544747939,1.3093311459275008,-0.23554703870612545,-0.22125868776173244,5,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0
6,65+,1,Left school at 18 years,Canada,White,-0.6796988558878381,-0.3004573879283393,-1.560694970088494,2.0453488641561437,1.6348130455205026,-1.4536436559090193,-1.6044905281465378,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0
7,45-54,0,Masters degree,USA,White,-0.4683231369552169,-1.0948795698758713,-0.4526296716343368,-0.3023657544747939,0.9418861747248215,-0.23554703870612545,0.08554037637589663,6,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,6,0
8,35-44,0,Left school at 16 years,UK,White,-1.3308863372990785,1.9463183283359566,-0.8498570278492728,-0.3023657544747939,1.6348130455205026,0.1937741107892311,-0.5431683478463336,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0
9,35-44,1,Professional certificate/ diploma,Canada,White,0.6305501029100478,2.5826969127911856,-0.9793841947388138,0.7631620279696526,1.1368987009682203,-1.4536436559090193,-1.6044905281465378,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0
10,55-64,0,Masters degree,UK,White,-0.24717003879613886,0.0042212888448033845,-1.4291795576726232,0.5921650128587294,0.12389191185434495,-1.4536436559090193,-0.8757259965584026,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0
11,25-34,1,University degree,UK,White,-1.0551963000940674,0.8088479237572055,-1.1226884972956506,-0.7628364312634675,1.816085096202194,0.1937741107892311,0.08554037637589663,4,0,1,0,6,2,4,2,0,0,0,0,0,0,0,0,2,1
12,45-54,0,"Some college or university, no certificate or degree",Other,White,-1.3308863372990785,0.0042212888448033845,0.14301052980661966,-1.9309483852571023,-0.528314643691725,0.5469007087892307,1.2736628734893594,4,1,0,0,6,5,4,2,0,3,0,0,0,1,0,2,6,0
13,55-64,1,University degree,UK,White,2.289368641815069,0.16912805824268257,0.44869825865780233,-1.6250809086557938,-0.7829794752183343,1.3456810983554328,0.08554037637589663,4,1,0,5,6,3,4,1,0,0,0,0,0,1,1,1,6,0
14,55-64,1,Professional certificate/ diploma,Canada,White,-0.7931605332637086,0.8088479237572055,-0.018368732080488795,0.9442460019876703,3.4723686350813363,-0.753225791296744,-0.8757259965584026,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
15,55-64,1,Professional certificate/ diploma,UK,White,-0.9229211819525353,1.4600264768684657,0.44869825865780233,-0.6077920519588935,1.6348130455205026,1.3456810983554328,0.7969941428269786,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0
16,55-64,0,University degree,UK,White,-2.054372328830543,-1.5121784827136195,-1.560694970088494,-1.0780488837111097,1.1368987009682203,-0.753225791296744,-0.5431683478463336,4,2,2,0,6,1,4,2,0,1,0,0,0,0,0,0,0,0
17,35-44,1,"Some college or university, no certificate or degree",UK,White,-1.553782533803857,-0.8079909571211307,-1.6866272284001254,0.2887641285945435,0.7602934127244029,-0.23554703870612545,-2.1544290441012417,6,0,0,1,6,3,4,0,0,0,0,0,0,0,0,0,6,0
18,45-54,0,Left school at 16 years,UK,White,0.5220372219869126,-1.2350528323333323,-0.31809172435268174,-0.45426171917019537,-1.3877909111937887,-1.4536436559090193,-0.8757259965584026,6,1,1,0,6,6,5,1,0,1,0,2,0,1,0,1,6,0
19,55-64,0,University degree,Australia,White,1.3751736663347747,-0.154504612287235,-0.17753883227167516,-1.9309483852571023,-1.5214673977306608,-0.753225791296744,-0.22125868776173244,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0
20,35-44,0,Professional certificate/ diploma,UK,White,-0.34885077562865574,-1.76758078926997,-2.407828147322035,-1.9309483852571023,0.7602934127244029,-1.4536436559090193,-2.1544290441012417,5,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0
21,45-54,0,Professional certificate/ diploma,UK,White,-0.7931605332637086,0.8088479237572055,0.7273036734457946,1.615560189609726,-1.1401015508494903,0.1937741107892311,-0.22125868776173244,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0
22,65+,0,Left school before 16 years,UK,White,-1.1966677646801562,0.4786731653874694,-1.1226884972956506,-0.6077920519588935,1.816085096202194,-0.23554703870612545,-1.2228441989199232,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0
23,45-54,0,University degree,UK,White,0.4171708226605297,-0.9501107917272493,-0.8498570278492728,1.1172082695297971,-0.900600351361439,-0.753225791296744,0.08554037637589663,5,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
24,45-54,0,Left school at 16 years,UK,White,1.606444749144182,-3.2841310689842174,-1.2798502686723625,0.2887641285945435,-1.0164472930228352,-1.4536436559090193,-1.6044905281465378,6,2,1,4,6,2,6,2,0,0,1,0,0,1,0,0,6,1
25,55-64,0,University degree,UK,White,-0.14932612188547958,0.640840686349351,1.246486796919702,0.7631620279696526,1.4654674470039688,-0.23554703870612545,-0.5431683478463336,4,1,1,1,4,1,4,1,0,1,0,0,0,1,0,1,6,0
26,45-54,0,"Some college or university, no certificate or degree",UK,White,-0.7931605332637086,-0.4405905148775806,-1.2798502686723625,0.9442460019876703,-0.006356972463632867,-0.23554703870612545,0.4193122694051331,4,1,2,0,6,1,4,2,0,2,0,0,3,2,0,2,1,0
27,55-64,1,Left school at 18 years,Canada,White,-0.052213504855487626,-1.6380434364907415,-3.286572420095407,-0.7628364312634675,0.586497944660533,0.1937741107892311,-1.6044905281465378,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0
28,35-44,0,University degree,UK,White,0.5220372219869126,-1.2350528323333323,-0.018368732080488795,-0.0171735355935936,-2.1856304721280195,1.9426449280417288,0.4193122694051331,6,1,1,2,6,6,4,1,0,0,0,0,2,1,0,3,2,0
29,35-44,1,Masters degree,UK,White,0.04240467833496769,-1.5121784827136195,-0.7192654466880604,0.2887641285945435,1.3093311459275008,0.1937741107892311,-0.5431683478463336,6,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0
30,45-54,0,Doctorate degree,UK,White,-1.3308863372990785,1.7476977320334912,0.8877591040782448,0.9442460019876703,1.816085096202194,-0.23554703870612545,-0.5431683478463336,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
31,45-54,0,Left school at 16 years,UK,White,0.31318599031358146,-0.8079909571211307,-1.2798502686723625,-1.4833521172524338,-0.653672680399117,-1.4536436559090193,0.08554037637589663,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0
32,35-44,1,Left school at 16 years,Other,White,-1.1966677646801562,-0.8079909571211307,0.14301052980661966,-0.6077920519588935,-0.006356972463632867,-1.4536436559090193,-0.8757259965584026,3,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,1,0
33,35-44,0,University degree,UK,White,-0.7931605332637086,-1.2350528323333323,-0.018368732080488795,0.43985794944047424,-0.006356972463632867,0.1937741107892311,-0.8757259965584026,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0
